Eixo;Problema central;Causa primária;Causa secundária;Causa terciária;Evidências nos grupos focais;Evidências nas oficinas;Indicadores;Outras evidências
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente da equipe escolar sobre a concepção de educação especial na perspectiva da educação inclusiva;;"""uso de recursos pedagógicos estarem alinhados entre todas/todos as/os profissionais da escola, do conhecimento de estratégias para integrar práticas inclusivas na rotina escolar de forma colaborativa e da educação alimentar como parte das práticas de cuidado e inclusão"" (C.)";"""necessária intensificação de processo formativo""";;
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente para profissionais de apoio (AVEs e ATEs);;"O diagnóstico revela que não apenas os professores, mas também os profissionais do quadro de apoio chegam às escolas sem formação específica para lidar com crianças com deficiência, embora sejam essenciais no cuidado direto. Já em relação aos AVEs, foi relatado que a SPDM oferece formação para os profissionais contratados"". (C.)

""Eu como AVE [Auxiliar de Vida Escolar] nunca tinha trabalhado em escola e nem tinha contato com crianças com TEA."" (GF)

""O ATE precisa conhecer as particularidades dos diferentes perfis de estudantes para atuar de forma integrada com a equipe pedagógica...portanto, há necessidade de formação sobre especificidades e diferentes espectros"" (C.)
""Compreensão dos Planos d Ação individuais em pareceria com professores/professoras e PAEE ""(C.)
""necessário tempo dedicado para a realização de formações sobre práticas e procedimentos de apoio, garantindo eficácia e segurança"" (C.)
""Fundamental que os ATEs participem de reuniões como a JEIF"" (C.)

""as/os ATEs precisam conhecer as particularidades dos diferentes perfis de estudantes para atuarem de forma integrada com a equipe pedagógica - professoras/professores e PAEEs -havendo a necessidade de formação sobre as características e especificidades das neurodivergências para que se possa traçar planos de ação individuais. "" (C.)";;"Número de PAAI
2024: 140 

Número de AVEs
2019: 1.166  
2023: 1.728
2024: 2.872

Número de ATEs:
2023: 8.952
2024: 9.542
2025: 9.374

Fonte: SIG, EOL, COMAPRE, UPGE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Profissionais em quantidade insuficiente para atender às demandas das UEs;Déficit no quadro de profissionais do NAAPA;;"PJ: Para ser mais atuante, precisa ampliar o quadro
JT: Aumento do quadro, pois o volume de trabalho não é coerente com o contingente. Há um reconhecimento que é impossível prestar o nível de serviço necessário aos alunos com a equipe atual
CL: Impacto é forte, potente, poderia ser melhor se tivessem um grupo maior";;"Professor de Acompanhamento e Apoio à Inclusão (PAAI):
2024: 131
2025:144
Número de psicólogos:
2024:59
2025: 59
Número de psicopedagogos:
2024:59
2025: 59
Fonte: Perfil do servidor - EOL/DIE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Formação insuficiente e/ou inadequada das equipes;Conteúdo genérico e pouco prático;;"Os servidores relatam que a formação sobre inclusão tende a ser muito geral, não atendendo às necessidades específicas de cada criança. Há uma demanda explícita por aprofundamento em Transtorno do Espectro Autista (TEA) e em estratégias para lidar com as diversas deficiências (PCD), com foco em ""estratégias e práticas pedagógicas"" concretas.

Foi mencionado também a necessidade de formação em recursos de acessibilidade e em Libras, indicando uma carência de habilidades técnicas para garantir a plena participação de todas as crianças.

""Os casos são muito diferentes uns dos outros e uma formação geral não atende as necessidades de cada criança."" (GF)
";;"Número de formações específicas sobre inclusão, TEA, PCD, Libras por unidade; índice de avaliação positiva dos participantes";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Desafios de integração entre materiais, práticas pedagógicas e avaliações;Pouco diálogo entre equipe de apoio e professores para o desenvolvimento dos planos de ação individuais;;Compreensão dos Planos de Ação individuais em pareceria com professores/professoras e PAEE (C.);;"Número/porcentagem de estudantes com os Planos AEE registrados no SGP: 
2023: 5.295 (18,08%)
2024: 28.783 (95%)
Fonte: Plano COPED, 2025";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Formação insuficiente e/ou inadequada das equipes;Falta de espaços de troca de experiências para atendimento de estudantes com deficiência;;"Os servidores relatam que a formação sobre inclusão tende a ser muito geral, não atendendo às necessidades específicas de cada criança. Há uma demanda explícita por aprofundamento em Transtorno do Espectro Autista (TEA) e em estratégias para lidar com as diversas deficiências (PCD), com foco em ""estratégias e práticas pedagógicas"" concretas.

Foi mencionado também a necessidade de formação em recursos de acessibilidade e em Libras, indicando uma carência de habilidades técnicas para garantir a plena participação de todas as crianças.

""Os casos são muito diferentes uns dos outros e uma formação geral não atende as necessidades de cada criança."" (GF)";;"Percentual de professores (PAEE, professor bilíngue, professor de libras EF, PAAI) em JEIF:
2025:64,34% (897)
Fonte: Perfil do servidor - EOL/DIE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Presença frágil, reativa e pouco articulada de outras secretarias e Conselho Tutelar no atendimento às famílias;Fragilidade na articulação entre as escolas, Assistência Social e Saúde, para atendimento das crianças e estudantes em situação de vulnerabilidade ou com deficiências;;"A articulação com a rede de saúde depende em grande parte da iniciativa proativa da própria escola, especialmente dos Professores de Atendimento Educacional Especializado (PAEEs), em vez de ser um fluxo institucionalizado e sistêmico.

Embora existam parcerias com Unidades Básicas de Saúde (UBS) e Centros de Atenção Psicossocial (CAPS), a comunicação é falha. As escolas encaminham crianças com necessidades específicas, mas frequentemente não recebem feedback ou devolutivas, o que dificulta o acompanhamento e a elaboração de estratégias pedagógicas adequadas.

A parceria com a Assistência Social (CRAS, Conselho Tutelar) é percebida como ""frágil e pouco efetiva"". A atuação é restrita a emergências e conflitos, sem um caráter preventivo. Os servidores relatam burocracia excessiva, falta de resposta e ""solicitações engavetadas"", o que deixa famílias de crianças em situação de vulnerabilidade sem o suporte necessário

 ";"""ampliação das ações intersetoriais; parceria com a rede da saúde e assistência social; nas escolas""

""maior articulação entre educação e saúde, assistência social e com a família; ampliar a ação das universidades nos territórios""";"Número de estudantes do Ens. Fundamental e Médio no CadÚnico:
2025: 304.212

Número de alunos do PSPI no CadÚnico
10/2025: 198.564

Número de estudantes do PSPI que recebem Bolsa Família:
10/2025: 116.727

Percentual de estudantes do 2º, 5º e 9º cadastrados no CadÚnico:
Extrema pobreza:
23,12% (33.585)
Pobreza:
12,32% (17.888)

Número de matrículas de estudantes com deficiência no Ens. Fundamental e Médio:
2024: 11685
2025: 13.196

Número de estudantes no CCA:
2024: 30.000
Fonte: EOL/ UPGE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente para professores;;"""Aprofundamento nos estudos sobre Transtorno de Espectro Autista (TEA) e sobre Pessoa com Deficiência (PCD) (C.)";"""os cursos são ofertados, mas o professor não tem liberação; mais formações""";"Quantidade de formações relacionadas a estudantes com deficiência

Participação nas formações relacionadas a estudantes com deficiência";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Falta de ambientes adaptados e acessíveis;;"""as UEs são prédios antigos e os espaços para reforma/adaptações e construção são restritos"" (C.)

""construção de rampas de acesso, elevadores, balcões e pias de cozinha mais baixas, pisos táteis, barras de apoio, ampliação de portas e banheiros adaptados"" (C.)

""elevadores da maioria das UEs quebram com frequência e há relatos de situações onde professoras/professores e estudantes ficaram presas/os"" (C.)";"""poucas UEs têm estrutura adaptada""

""Nem todas as UEs estão adaptadas ou têm acessibilidade""

""reformas nas escolas, projetos de acessibilidade, mais escolas sendo construídas""

""busca de garantia de acessibilidade às vivências""

""revitalização de alguns espaços para acessibilidade""";"% de unidades acessíveis: 
2024: 32,98%

% UEs parcialmente acessíveis:
2024:  47,44%
 % de UEs não acessíveis: 
2024: 19,58%

Número de matrículas em Salas de Recursos Multifuncionais 
2023: 670
2024: 796
2025: 1.731

Percentual de unidades com recursos multifuncionais:
2024: 37,3% (361)
Fonte: SIG, EOL, COMAPRE, UPGE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Profissionais em quantidade insuficiente para atender às demandas das UEs;Falta de profissionais especializados (PAEEs, AVEs, psicopedagogos) para atender às necessidades dos estudantes;;"""garantir critérios de seleção e contratação de profissionais mais assertivos"" (C.)

""nos CEIs, existe a ausência de equipe de apoio, como AVE e PAEE, reforçando a necessidade da atuação destas/es profissionais desde a primeira infância. Ainda foi destacada a urgência em agilizar o processo de inclusão de crianças na lista de atendimento do AVE. (C.)

""32 alunos em uma sala, sendo 8 alunos com deficiência com demandas de atendimento específico, para um professor só"" (GF)
""a sobrecarga e a falta de profissionais dificultam o atendimento individualizado e de qualidade"" (C.)
""Nas EMEIs e nos CEIs não há disponibilidade destes/destas profissionais (PAEE), mesmo com as demandas crescentes""(C.)


";"A secretaria tem política consolidada, a inciativa para promover a educação inclusiva, mas há falta de profissionais para o atendimento dos estudantes com deficiência e com dificuldade de aprendizagem. É necessário ampliação da formação coma a participação da famílias e toda a comunidade educacional

""Os psicopedagogos disponíveis na DIPEP compõem o NAAPA e atuam em parceria com o CEFAI, pois devido a quantidade de demandas dos núcleos não são suficientes""

""as equipes multidisciplinares são destinadas somente às crianças com deficiências e não para uma educação inclusiva como princípio para todos""

""A educação inclusiva tem muitos avanços e é referência para outros municípios. Entretanto ainda existem muitas limitações, principalmente no número de servidores qualificados. Por exemplo, no NAAPA, um especialista acompanha aproximadamente 40 escolas. No CEFAI existem barreiras de todos os tipos, em especial da acessibilidade atitudinais. É necessário ainda um trabalho intenso para avanços.""

Ampliação do pessoal do CEFAI para aperfeiçoamento da formação docente e rompimento de crenças estabelecidas sobre a deficiência.

Ampliar recursos humanos; mais PAEEs e PAAIs; mais AVEs, mais estagiários; 

necessário ampliação de profissionais habilitados no órgão central DRE - esta é a grande demanda da década";"Quantidade de estudantes com deficiência na Rede:
2024: 18.343
2025: 22.531

Quantidade de PAEEs
2024: 907
2025: 1.223 
Fontes: Plano COPED e Perfil do Servidor - DIE

Número de AVEs
2019: 1.166  
2023: 1.728
2024: 2.872
2025: 

Proporção de estudantes com deficiência por AVE: 
2024: 6,3 (contrato SPDM: de 1 a 6 por período)
Fonte: EOL/DIE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Profissionais em quantidade insuficiente para atender às demandas das UEs;Déficit no quadro de apoio;;"A ausência ou quantidade inadequada de profissionais de apoio é um fator que ""fragiliza o atendimento e prejudica a experiência escolar"". Esses profissionais são cruciais para o ""apoio direto às crianças"", especialmente as pequenas e aquelas com deficiência, em tarefas de higiene, alimentação e socialização.

""A ausência (...) fragiliza o atendimento e prejudica a experiência escolar de crianças, famílias e professoras/professores. "" (C.)

""urgência de ampliação do quadro de profissionais para atender à crescente demanda de estudantes com deficiência"" (C.)

""gerenciamento complexo de inúmeras atividades na U.E.(C.)";"Alternativa C porém NÃO é a maioria das escolas que tem infraestrutura adequada para acesso ao currículo. Ausência de recursos humanos especializados. Falta um programa permanente de profissionais que atuem com os estudantes do público AEE que necessitam de suporte. Exemplo: instrutores, intérpretes, AVEs. Faltam verbas para contratos. Necessitamos de um plano estratégico para que os estudantes não fiquem sem o suporte necessário.
";"
Número de AVEs
2019: 1.166  
2023: 1.728
2024: 2.872

Número de ATEs:
2023: 8.952
2024: 9.542
2025: 9.374

Fonte: SIG, EOL, COMAPRE, UPGE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Profissionais em quantidade insuficiente para atender às demandas das UEs;Alto número de estudantes/educandos por professor;;"Relatório: ""número de estudantes por agrupamento inviabiliza que o professor consiga olhar para as especificidades de todos. Os estudantes com deficiência não tem acompanhamento multiprofissional adequado.""";Diminuição de crianças e estudantes por turma. Menor número de alunos por sala.;"Quantidade de PAEEs
2024: 907
2025: 1.223 
Proporção de PAEE por estudante com deficiência:
2021: 47,5
2023: 40,2
2025: 18,42

Quantidade de estudantes com deficiência na Rede:

2024: 18.343
2025: 22.531

Proporção de matrículas PCD pelo total de matrículas nos ciclos de alfabetização, intermediário e autoral:
2025:  5% (449.969 matrículas nesses ciclos)

 Número de alunos com TEA, deficiência intelectual ou deficiências múltiplas por ciclo de ensino 
2025:
Alfabetização:
TEA: 6.446 
Def. Múltiplas: 995

Ciclo interdisciplinar
TEA: 3.376 
Def. Intelectual: 1.484

Ciclo autoral:
Def. intelectual: 2.022
TEA: 1.947
Def. Múltipla: 874
/EOL/ DIE";
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Fragilidade do vínculo com o território;Falta de acolhimento inclusivo direcionado às famílias;;"O texto sugere a importância de ""acolher mães/pais de PCDs com oficinas específicas e oportunizar espaços de trocas"". A falta desse acolhimento pode dificultar o engajamento das famílias, que são parceiras essenciais no processo educativo.";;"Nº AVEs: 
2019: 1.166  
2023: 1.728
2024: 2.872 

Nº ATEs:
2023: 8.952 
 2024: 9.542
  2025:9.374

Número de estagiários do programa Aprender sem Limites
2024: 6.405

Número de alunos PCD por ciclo de ensino (10/25) 
Alfabetização:
TEA: 6.446 
Def. Múltiplas: 995

Ciclo interdisciplinar
TEA: 3.376 
Def. Intelectual: 1.484

Ciclo autoral:
Def. intelectual: 2.022
TEA: 1.947
Def. Múltipla: 874
Fonte: EOL/DIE/COPED

";Em 2024 foram ampliados as equipes de AVEs e profissionais dos CEFAIs, além do lançamento do  protocolo integrado de atenção às famílias com crianças com deficiência, TEA e altas habilidades ou superdotação dentro do Plano Municipal pela Primeira Infância. O protocolo é uma estratégia transversal e intersetorial com o objetivo de promover e fortalecer a atenção integral às famílias, visando o desenvolvimento máximo das crianças. 
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Desafios de integração entre materiais, práticas pedagógicas e avaliações;Avaliações não adaptadas às especificidades dos estudantes;;"Há um forte consenso de que as avaliações externas precisam ser mais flexíveis. Elas devem ""considerar ritmos de aprendizagem e condições específicas para estudantes com deficiência"". A ausência dessa flexibilidade pode estigmatizar os alunos e não reflete seu real desenvolvimento.

PE: Os alunos tem ritmos de aprendizagem diferentes, os professores respeitam as especificidades, mas as avaliações externas não consideram isso, resultando em exclusão. Especificidades da avaliação: pensar a língua de sinais, embora haja interpretação, precisa entender que a língua de sinais é diferente da língua portuguesa, hoje isso não é levado em consideração. Muitos professores reclamam que o currículo da cidade não considera alunos que possuem defasagens não consideradas pelo currículo – muitos estão com defasagens depois da pandemia – e os cadernos não possuem orientação para professores";;"Número de estudantes PCD na prova SP de português que tiveram nota:
2023: 8.699
2024: 9534

Número de estudantes PCD na prova SP de português que não tiveram nota:
2023: 5.356
2024: 5.884

Número de estudantes PCD na prova SP de matemática que tiveram nota:
2023:8.660
2024: 10.150

Número de estudantes PCD na prova SP de matemática que não tiveram nota:
2023: 5.395
2024: 5269

Número de estudantes que participaram das duas:
2023: 7378
2024: 8261
";"No artigo ""Avaliação externa na Rede Municipal"" de 2017 são ressaltados que, apesar de avanços em medir o desempenho, havia críticas quanto à adequação da abordagem avaliativa às realidades de alunos, sobretudo dos ciclos iniciais, e a associação dos cortes para padrões nacionais nem sempre considera defasagens e necessidades específicas da rede paulistana"
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Desafios de integração entre materiais, práticas pedagógicas e avaliações;Programas de recuperação e recomposição das aprendizagens não inclusivos;;"Os programas de recuperação e recomposição de aprendizagem precisam ser repensados para ""incluir ações voltadas para estudantes com deficiência"", garantindo que as estratégias sejam adaptadas às suas necessidades específicas.";;"Número de matrículas em EMEBS (Ens. Fundamental e Médio):
2024:687
2025: 744
Matrículas de estudantes de EMEBS no PAP:
2025: 91
Número de matrículas de estudantes de EMEBS no PAP Colaborativo:
2025: 552
Número de matrículas de estudantes de EMEBS em Recuperação Paralela:
2025: 162

Número de estudantes PCD na prova SP de português que tiveram nota:
2023: 8.699
2024: 9534

Número de estudantes PCD na prova SP de português que não tiveram nota:
2023: 5.356
2024: 5.884

Número de estudantes PCD na prova SP de matemática que tiveram nota:
2023:8.660
2024: 10.150

Número de estudantes PCD na prova SP de matemática que não tiveram nota:
2023: 5.395
2024: 5269

Número de estudantes que participaram das duas:
2023: 7378
2024: 8261

Fonte: EOL/DIE";"Programa Mais Educação São Paulo: ""Antes de se propor uma intervenção 
pedagógica, o instrumento avaliativo deve 
ter por objetivo diagnosticar a situação 
de aprendizagem em que o educando se 
encontra para, a partir dela, estabelecer o 
planejamento dos objetivos educacionais 
que nortearão a ação pedagógica. Ele 
permite identificar os conhecimentos 
prévios dos alunos, sendo assim 
denominado avaliação diagnóstica ou 
sondagem""
A Política Paulistana de Educação Especial na Perspectiva da Educação Inclusiva, visa garantir o Atendimento Educacional Especializado (AEE) e eliminar barreiras à participação e aprendizagem dos estudantes com deficiência, TEA e altas habilidades/superdotação. Essa oferta é realizada por meio de estruturas como os CEFAIs, Salas de Recursos Multifuncionais, professores especializados (PAEE), instituições conveniadas e unidades bilíngues para surdos, além de apoios técnicos e humanos como os Auxiliares de Vida Escolar, supervisores e núcleos multidisciplinares, articulados em projetos como o Rede e o programa “Aprender Sem Limite”."
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Desafios de integração entre materiais, práticas pedagógicas e avaliações;Inadequação do currículo, materiais e avaliações para realidades específicas, como a dos estudantes com deficiência;;"O relatório aponta para um desalinhamento entre o currículo, os materiais pedagógicos e a realidade dos estudantes com deficiência. Especificamente, menciona-se que, com exceção de Libras e Língua Portuguesa, ""o currículo comum não é adequado à realidade das EMEBS"" (Escolas Municipais de Educação Bilíngue para Surdos) 

""cesso a recursos pedagógicos e a utilização de uma linguagem comum entre as/os profissionais"" (C.)
";Há desafios no que se refere à metodologias e materiais para flexibilização e não na adaptação.;"Matrículas nas EMEBS:
2023: 464
2024: 455
2025: 436
Fonte: EOL";Orientações Didáticas do Currículo da Cidade adaptados para educação especial (Libras e Língua portuguesa para surdos)
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Fragilidade na articulação pedagógica e integração de atividades entre etapas/modalidades de ensino;Diminuição do tempo do CEI para EMEI que impactam o dia a dia das famílias, que não têm onde deixar as crianças;;"Os horários diferentes do CEI e do CEMEI desorganizam o atendimento à comunidade que tem filhas/os em unidades distintas.

Constatou-se que as mudanças na carga horária impactam o dia a dia das famílias, que não têm onde deixar as crianças. ";;;
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Heterogeneidade dos prédios e instalações dos CEIs parceiros;;;;;"Relatório TCM
> Os relatórios elaborados pelos técnicos das DREs não demonstram a existência de padrão nas vistorias prévias realizadas nos imóveis utilizados pelos CEIs parceiros, porquanto não foram encontrados em vários desses documentos elementos que revelem objetivamente se o imóvel reúne condições para instalação do CEI. 
> As plantas arquitetônicas ou croquis de 92,3% dos 26 CEIs parceiros da amostra não representam o imóvel de forma adequada, porquanto ilegíveis e vagas – a apresentação das salas ocupadas pelas crianças é simplificada, sem identificação dos demais ambientes e de suas dimensões.
> Quase 58% dos CEIs da rede parceira sorteados não dispõem de qualquer ambiente interno para recreação, tampouco áreas externas descobertas ou arbóreas para propiciar contato dos bebês e crianças com a natureza (30,8%), o que contraria o disposto nos Padrões Básicos de Qualidade e no Termo de Acordo Judicial (TAJ), assinado em 14.09.2017.
> Segundo dados do sistema Escola Online (EOL), 84,6% da amostra – CEIs diretos e parceiros – não dispõem de salas de recreação ou de vídeo, não havendo solários em 15,4% dos CEIs diretos e em 19,2% dos CEIs parceiros da amostra, contrariando o disposto nos Padrões Básicos de Qualidade da Educação Infantil Paulistana.
> Enquanto todos os CEIs diretos da amostra atendem ao número de agrupamentos por ambiente determinado no TAJ já mencionado, oito CEIs parceiros (ou 30,8% desse segmento da amostra) não se enquadram no termo supracitado, verificando-se, assim, mais uma diferença considerável entre a rede direta e a parceira.
> Há diferença significativa entre CEIs diretos e parceiros quanto à acessibilidade dos imóveis. Conforme indicado na avaliação MELE, 32% dos CEIs diretos e 72% dos parceiros não dispõem de edificações acessíveis. Além disso, dados oficiais disponíveis no Sistema EOL revelam que 46,2% dos CEIs diretos da amostra não contam com sanitários para deficientes em suas dependências, ante 88,5% dos CEIs parceiros."
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Fragilidade na articulação pedagógica e integração de atividades entre etapas/modalidades de ensino;Dificuldades na consolidação da concepção de criança/infância ;;"Foram citadas a falta de articulação entre Unidades, a ausência de diálogo entre CEI e EMEI para compreender realidades e garantir continuidade do atendimento, sendo necessário construir projetos conjuntos de transição com ações de curto e médio prazo. Outro aspecto mencionado consiste na necessidade de alinhamento sobre a concepção pedagógica para as infâncias na Rede, para que as/os docentes e toda equipe escolar pratiquem estratégias comuns, referenciadas pelos documentos e diretrizes da SME. Constatou-se a falta de conscientização das famílias sobre as diferenças nas demandas às/aos professoras/es do CEI e da EMEI, sendo fundamental a conscientização das diferenças principalmente na perspectiva da construção da autonomia das crianças. 
";;;
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Formação insuficiente e/ou inadequada das equipes;Formação continuada genérica e frágil para ampliar o repertório dos professores em educação infantil;;"FB: Quadro insuficiente de profissionais nas DREs para acompanhar práticas e formar equipes.
PE: As UEs de Ensino Fundamental recebem muito material de qualidade. No entanto, a educação infantil conta com poucos recursos; Reforçar a importância de haver profissionais que estão efetivamente na sala de aula para a construção destes materiais; DRE Santo Amaro: problemas no material da infância - não dialoga com o currículo da educação infantil (envio de objetos que por vezes estão em desacordo com o currículo)";;;
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Dificuldade de realizar atendimento individualizado considerando necessidades de cada criança;Alto número de estudantes/educandos por professor;;;;"Número de matrículas na Educação Infantil
2023: 515.004
2024: 506.906
2025: 487.923

Número de crianças por turma nas Creches:
2023, 2024 e 2025: 9
Número de alunos por turma na Pré-escola:
2023: 28
2024: 27
2025: 26
";
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Fragilidade do diálogo entre CEI e EMEI para compreender realidades e garantir continuidade do atendimento;Número insuficiente de profissionais na DRE para acompanhar práticas;;;"Número de supervisores para todas as unidades e etapas
2023: 426
2024: 445
2025: 437

Quantidade de profissionais de DIPED nas DREs";
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Profissionais em quantidade insuficiente para atender às demandas das UEs;Quadro de agentes escolares está em vacância;;;;"Quantidade de servidores do quadro de agentes escolares ao longo dos anos
Numero de agentes escolares";
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Fragilidade do diálogo entre CEI e EMEI para compreender realidades e garantir continuidade do atendimento;Dificuldades para realizar a supervisão com a frequência necessária;;;Relação escola por supervisor (incluindo rede parceira) ao longo dos anos;
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Profissionais em quantidade insuficiente para atender às demandas das UEs;Déficit no quadro de apoio;;;;Rotatividade do quadro de apoio na EI;
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Materiais pedagógicos insuficientes e inadequados em relação ao currículo da educação infantil;;Falta investimento de materiais pedagógicos na Educação Infantil;Material em desacordo com o currículo na EI;;
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Formação insuficiente e/ou inadequada das equipes;Formações insuficientes sobre aprendizagem para o quadro de apoio;;Contribuição pedagógica e educativa: além de funções operacionais, o quadro de apoio é reconhecido, por algumas pessoas, como educadoras/es, sendo que a integração dessas/es profissionais nas atividades pedagógicas amplia e favorece os resultados dos projetos escolares.;;;"Relatório TCM: há evidências de problemas no atendimento inclusivo permeando igualmente CEIs diretos e parceiros, tais como ausência de diretrizes bem definidas e efetivas emanadas pelos órgãos de organização central e regional de educação (SME e DREs) – o atendimento fica, na prática, a cargo da organização interna e das condições materiais existentes em cada unidade de educação infantil; há escassez de unidades com professor habilitado para realizar a inclusão das crianças com deficiências; carência de formação específica para a inclusão de crianças com deficiência em 67% das escolas de educação infantil, segundo dados da avaliação MELE[1]; e falta de Professores de Atendimento Educacional Especializado (PAEEs) lotados nos CEIs para atuar de forma colaborativa com os demais colegas no trabalho de inclusão. A carência de profissional com formação específica em educação especial pode ocasionar prejuízo ao desenvolvimento dessas crianças."
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Fragilidade do diálogo entre CEI e EMEI para compreender realidades e garantir continuidade do atendimento;;PJ: Conflitos pedagógicos com as conveniadas (festas, atendimentos diferenciados, condutas religiosas) geram muitos questionamentos dos pais. Precisa ser implementada EMEI em tempo integral. Falta de diálogo entre CEI e EMEI, não se conhecem. Seria necessário buscar uma articulação, as unidades precisam conhecer a realidade da outra para atender o território. Falta de efetividade da concepção da rede municipal em relação a educação infantil. Todos precisam seguir os documentos oficiais.;;;"Auditoria do TCM (2020) aponta carências estruturais e maior dificuldade na rede parceira; Indicadores de Qualidade da Educação Infantil Paulistana listam baixo diálogo e participação familiar, além de formação limitada
"
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Presença frágil, reativa e pouco articulada de outras secretarias e Conselho Tutelar no atendimento às famílias;Falta de diálogo com as unidades para priorização de demandas das UEs;;"CS: Saúde é mais acessível, mas com a Assistência Social é mais difícil. “UBS conhece a escola e vice versa, enfermeiras vão para orientar sobre primeiros socorros, alimentação para a UE e para as famílias. Vínculos com profissionais para lidar com o espaço”/Fragilidade da comunicação intersetorial/ Conselho Tutelar de difícil acesso, difícil trato e retorno
PJ: As escolas não conseguem firmar parcerias com a Assistência Social/A parceria com o Conselho Tutelar acontece somente nas emergências 
";;Frequência de reuniões intersetoriais entre escolas, UBS, CRAS/CREAS e Conselho Tutelar para definição de fluxos de atendimento e acompanhamento das demandas escolares;
Educação Infantil;Desigualdade na oferta de condições para o desenvolvimento e aprendizagem das crianças com qualidade;Presença frágil, reativa e pouco articulada de outras secretarias e Conselho Tutelar no atendimento às famílias;Comunicação insuficiente sobre os serviços da saúde e benefícios sociais;;"BT: Os profissionais da escola buscam informações sobre auxilio social, bolsa saúde, e não recebem muita ajuda para obter informações dos direitos dos alunos e famílias.
FB: O contato só acontece quando a gestor vai atras dos profissionais no posto de saúde / A Assistência Social também só aparece quando algo não caminhou bem, em situações de conflitos./Com a Assistência Social a interlocução é mais difícil, tem uma burocracia, é necessário levar as solicitações pessoalmente. Quando a equipe pede ajuda são questionados sobre o cumprimento dos procedimentos. A impressão é que as solicitações são engavetadas";;Número  de encaminhamentos realizados entre escola e saúde/assistência social;
